# Complete SFS list from Riksdagen API
# Fetched: 2025-12-11T20:09:49.063Z
# API reported: 11397, Unique dok_ids: 11397, Unique SFS: 11265
# Format: SFS\tDATE\tDOK_ID\tTITLE
#
	1867-05-08	c0s0riksb	för Riksbankens styrelse oeh förvaltning, utfärdad! den 8 Maj 1867
1933:270	1933-06-02	sfs-1933-270	Lag (1933:270) om säkerhet för utbekommande av viss ersättning enligt lagen om ägofred
1933:28	1933-02-10	sfs-1933-28	Lag (1933:28) om ändrade bestämmelser i vissa fall rörande fördelning av böter m.m.
1933:282	1933-06-02	sfs-1933-282	Kungörelse (1933:282) med vissa bestämmelser rörande fiskeriförhållandena i de till Sverige och Danmark gränsande farvattnen;
1933:315	1933-06-09	sfs-1933-315	Lag (1933:315) angående införande av lagen om boutredning och arvskifte
1933:359	1933-06-14	sfs-1933-359	Lag (1933:359) angående vad med fastighets taxeringsvärde i vissa fall skall förstås
1933:395	1933-06-26	sfs-1933-395	Lag (1933:395) om ersättningsskatt
1933:421	1933-06-26	sfs-1933-421	Kungörelse (1933:421) angående skyldighet för länsstyrelse att utfärda bevis om laga kraft å vissa beslut m.m.
1933:483	1933-06-14	sfs-1933-483	Riksarkivets Råd och anvisningar (1933:483) rörande vården av kommunala arkiv
1933:518	1933-08-28	sfs-1933-518	Kungörelse (1933:518) med vissa bestämmelser i anledning av lagen den 2 juni 1933 (nr 269) om ägofred
1933:519	1933-08-28	sfs-1933-519	Kungörelse (1933:519) om ersättning till vissa synemän samt till sakkunnigt biträde vid förrättning enligt lagen om ägofred
1933:520	1933-08-28	sfs-1933-520	Kungörelse (1933:520) angående rese- och traktamentsklass i vissa fall för förrättningsman och sakkunnigt biträde vid förrättning enligt lagen om ägofred
1933:521	1933-08-28	sfs-1933-521	Kungörelse (1933:521) med vissa föreskrifter i fråga om redovisning av förrättningsakt rörande förrättning enligt lagen om ägofred
1933:614	1933-11-10	sfs-1933-614	Cirkulär till statsmyndigheterna (1933:614) om tillämpningen av föreskrifterna i kungörelsen den 3 juli 1916 (nr 338) angående sättet för skriftväxling mellan domstolar, civila, militära och ecklesiastika ämbetsmyndigheter samt ämbets- och tjänstemän i tjänsten rörande ärenden;
1933:618	1933-11-24	sfs-1933-618	Kungörelse (1933:618) angående biträde av Justitiedepartementet för delgivning av handlingar i utlandet
1933:668	1933-12-21	sfs-1933-668	Kungörelse (1933:668) om beskaffenheten av laggillt stängsel i vissa delar av riket m.m.
1933:78	1933-03-13	sfs-1933-78	/r1/ Kungl. Maj:ts Förordning (1933:78) angående beteckning för vissa slag av vin;
1934:105	1934-04-20	sfs-1934-105	Kungl. Maj:ts Förordning (1934:105) om blindhetsersättning;
1934:119	1934-05-04	sfs-1934-119	Skeppsklarerarförordning (1934:119)
1934:300	1934-06-15	sfs-1934-300	Lag (1934:300) om sparbankernas säkerhetskassa
1934:328	1934-06-22	sfs-1934-328	Förordning (1934:328) om stämpelfrihet vid utbyte av lottbrev mot aktiebrev i anledning av solidariskt bankbolags ombildning till bankaktiebolag
1934:36	1934-03-02	sfs-1934-36	Kungörelse (1934:36) om betesreglering i Uppsala län
1934:437	1934-06-30	sfs-1934-437	Lag (1934:437) för Sveriges riksbank
1934:447	1934-07-06	sfs-1934-447	Brev (1934:447)till socialstyrelsen angående bestämmelser i anledning av överenskommelse mellen Sverige och Frankrike rörande lättnader i avseende å främlingskontrollen för vissa svenska och franska medborgare
1934:515	1934-11-02	sfs-1934-515	Kungörelse (1934:515) med tillämpningsföreskrifter till lagen den 15 juni 1934 (nr 300) om sparbankernas säkerhetskassa
1934:53	1934-03-23	sfs-1934-53	Lag (1934:53) om rätt för Konungen att meddela föreskrift om utländsk bevakningspersonals likställdhet i vissa fall med svenska tulltjänstemän
1934:59	1934-03-23	sfs-1934-59	Kungörelse (1934:59) om bestridande med allmänna medel av vissa med betesreglering förenade kostnader
1934:65	1934-04-03	sfs-1934-65	Kungörelse (1934:65) med föreskrifter i anledning av en mellan Sverige och Finland den 29 december 1933 avslutad överenskommelse ang. gemensam bevakning för bekämpande av olovlig införsel av alkoholvaror
1934:67	1934-04-06	sfs-1934-67	Lag (1934:67) med bestämmelser om konkurs, som omfattar egendom i Danmark, Finland, Island eller Norge
1934:68	1934-04-06	sfs-1934-68	Lag (1934:68) om verkan av konkurs, som inträffat i Danmark, Finland, Island eller Norge
1934:69	1934-04-06	sfs-1934-69	Lag (1934:69) om erkännande och verkställighet av vissa, i anledning av konkurs meddelade utländska domar
1935:101	1935-04-12	sfs-1935-101	Lag (1935:101) om inlösen av vissa frälseräntor
1935:103	1935-04-12	sfs-1935-103	Förordning (1935:103) om utsträckt tillämpning av de i kungörelsen den 3 februari 1888 (nr 1 sid. 3) samt 4 § lagen den 2 december 1892 (nr 106) meddelade bestämmelser angående ersättning av statsmedel för gulden frälseränta
1935:113	1935-04-18	sfs-1935-113	Lag (1935:113) med vissa bestämmelser om arbetsförmedling
1935:119	1935-04-26	sfs-1935-119	Kungörelse (1935:119) angående prägel å minnesmynt å fem kronor
1935:22	1935-02-15	sfs-1935-22	Brev (1935:22) till aktiebolaget Vin- & Spritcentralen angående skydd för vissa beteckningar för portugisiska viner
1935:3	1935-01-16	sfs-1935-3	Kungörelse (1935:3) om betesreglering i Östergötlands län
1935:44	1935-03-01	sfs-1935-44	Lag (1935:44) om dödsbo efter dansk, finsk, isländsk eller norsk medborgare, som hade hemvist här i riket, m.m.
1935:45	1935-03-01	sfs-1935-45	Lag (1935:45) om kvarlåtenskap efter den som hade hemvist i Danmark, Finland, Island eller Norge
1935:46	1935-03-01	sfs-1935-46	Lag (1935:46) om tillsyn i vissa fall å oskiftat dödsbo efter medborgare i Danmark, Finland, Island eller Norge
1935:47	1935-03-01	sfs-1935-47	Kungörelse (1935:47) angående viss uppgiftsskyldighet i fråga om hamnar och lastageplatser ävensom kanaler och andra vattentrafikleder
1935:544	1935-10-25	sfs-1935-544	Kungörelse (1935:544) angående villkoren för telegrams befordran å statens järnvägars och enskilda järnvägars telegrafförbindelser;
1935:567	1935-11-22	sfs-1935-567	Kungörelse (1935:567) angående särskilt förfarande för erhållande av handräckning i Tyskland i vissa beskattningsärenden;
1935:568	1935-11-22	sfs-1935-568	Kungörelse (1935:568) angående handräckning åt tysk myndighet i vissa beskattningsärenden;
1935:575	1935-11-08	sfs-1935-575	Kungörelse (1935:575) angående skriftväxling med utländska myndigheter i sådana frågor om handräckning, som avses i konventionen den 19 november 1934 mellan Sverige, Danmark, Finland, Island och Norge om arv, testamente och boutredning
1935:576	1935-11-08	sfs-1935-576	Kungörelse (1935:576) angående tillämpning å dödsbos konkurs av lagen den 6 april 1934 (nr 67) med bestämmelser om konk urs, som omfattar egendom i Danmark, Finland, Island eller Norge, m.m.
1935:596	1935-11-15	sfs-1935-596	Cirkulär (1935:596) till länsstyrelserna angående tillämpningen av viss bestämmelse i konventionen den 16 mars 1932 mellan Sverige och Danmark med flere länder om erkännande och verkställighet av domar
1935:609	1935-12-13	sfs-1935-609	Brev (1935:609) till Generaltullstyrelsen angående främmande länders anslutning till konventionen den 22 november 1928 angående internationella utställningar
1935:77	1935-03-30	sfs-1935-77	Kungörelse (1935:77) angående utfärdande av bevis rörande beskattning av rederirörelse i Sverige;
1936:13	1936-01-24	sfs-1936-13	Kungörelse (1936:13) med föreskrifter i anledning av en mellan Sverige och Danmark den 28 oktober 1935 avslutad överenskommelse ang. gemensam bevakning för bekämpande av olovlig införsel av alkoholvaror
1936:282	1936-07-01	sfs-1936-282	Lag (1936:282) angående användning i vissa fall av kommun eller annan samfällighet tillhörig egendom
1936:320	1936-06-26	sfs-1936-320	Lag (1936:320) om skydd mot vräkning vid arbetskonflikter
1936:356	1936-06-26	sfs-1936-356	Kungörelse (1936:356) med ändrade bestämmelser rörande den omfattning, i vilken kronans jordebok skall föras, m.m.
1936:45	1936-03-06	sfs-1936-45	/r1/ Kungl. Maj:ts Kungörelse (1936:45) angående statsbidrag till byggnader för folkskoleväsendet;
1936:567	1936-11-13	sfs-1936-567	Lag (1936:567) om domkapitel
1936:590	1936-12-04	sfs-1936-590	Kungl. Maj:ts Kungörelse (1936:590) angående befrielse i vissa fall för finska bevakningsfartyg från sjöfartsavgifter m.m.;
1936:627	1936-12-11	sfs-1936-627	Kungörelse (1936:627) angående översändande till domkapitel av utslag i mål vari präst blivit dömd till straff
1936:79	1936-03-27	sfs-1936-79	Lag (1936:79) om erkännande och verkställighet av dom som meddelats i Schweiz
1936:81	1936-03-27	sfs-1936-81	Lag (1936:81) om skuldebrev
1936:82	1936-03-27	sfs-1936-82	Lag (1936:82) angående införande av lagen om skuldebrev
1936:83	1936-03-27	sfs-1936-83	Lag (1936:83) angående vissa utfästelser om gåva
1936:88	1936-03-27	sfs-1936-88	Lag (1936:88) om pantsättning av lös egendom som innehaves av tredje man
1937:179	1937-04-30	sfs-1937-179	Kungl. Maj:ts Kungörelse (1937:179) om fortsatt tillämpning av kungörelsen den 6 maj 1927 (nr 129) angående förbud mot utförsel från riket av vissa äldre kulturföremål
1937:313	1937-06-04	sfs-1937-313	/r1/ Lag (1937:313) angående slakt av husdjur
1937:346	1937-06-11	sfs-1937-346	Lag (1937:346) om upphörande av vissa frälseräntor;
1937:540	1937-06-18	sfs-1937-540	Förordning (1937:540) om försäljning av vissa kyrkolägenheter i Skåne, Halland och Blekinge
1937:591	1937-06-18	sfs-1937-591	Förordning (1937:591) angående upphörande av det från viss jord i Skåne, Halland och Blekinge utgående landgille
1937:73	1937-03-05	sfs-1937-73	Lag (1937:73) om befordran med luftfartyg
1937:81	1937-03-05	sfs-1937-81	Lag (1937:81) om internationella rättsförhållanden rörande dödsbo
1937:810	1937-09-30	sfs-1937-810	/r1/ Kungl. Maj:ts kungörelse (1937:810) angående ersättning åt ortsombud för yttranden över ansökningar om statliga bosättningslån;
1937:882	1937-11-26	sfs-1937-882	/r1/ Kungl. Maj:ts Kungörelse (1937:882) angående stadfästande av ny svensk psalmbok;
1937:977	1937-12-23	sfs-1937-977	Cirkulär (1937:977) till länsstyrelserna angående besvarande av deklarationer jämte tillhörande uppgifter för 1928 års allmänna fastighetstaxering
1938:107	1938-04-08	sfs-1938-107	Lag (1938:107) om den 1 majs likställande i vissa hänseenden med allmän helgdag;
1938:121	1938-04-22	sfs-1938-121	Lag (1938:121) om hittegods
1938:159	1938-05-06	sfs-1938-159	Lag (1938:159) om avlösning av avgälder från de till skatte försålda så kallade halländska kyrkohemmanen
1938:189	1938-05-20	sfs-1938-189	Kungl. Maj:ts Kungörelse (1938:189) angående stapelstads- samt tullnederlags- och transitupplagsrätt för staden Köping;
1938:216	1938-06-03	sfs-1938-216	Förordning (1938:216) om livräntetillägg av statsmedel åt vissa livräntetagare enligt lagen den 5 juli 1901 angående ersättning för skada till följd av olycksfall i arbete
1938:274	1938-06-03	sfs-1938-274	Lag (1938:274) om rätt till jakt
1938:279	1938-06-03	sfs-1938-279	Kungl. Maj:ts Jaktstadga (1938:279)
1938:470	1938-06-17	sfs-1938-470	Lag (1938:470) med vissa bestämmelser om främmande statsfartyg m.m.
1938:677	1938-12-02	sfs-1938-677	Kungörelse (1938:677) med vissa föreskrifter rörande polismyndighets befattning med hittegods
1939:159	1939-05-05	sfs-1939-159	Kungörelse (1939:159) angående upphävande av gällande bestämmelser om mantalssättning i anledning av ändring i administrativ indelning, m.m.
1939:174	1939-05-19	sfs-1939-174	Lag (1939:174) om tillverkning, införsel och försäljning av gasskyddsmateriel;
1939:175	1939-05-19	sfs-1939-175	Kungörelse (1939:175) med vissa föreskrifter i anledning av förordningen den 19 maj 1939 (nr 174) angående tillverkning, införsel och försäljning av gasskyddsmateriel
1939:208	1939-05-19	sfs-1939-208	/r1/ Kungl. Maj:ts Kungörelse (1939:208) med vissa bestämmelser angående försäljning av svenska statens premieobligationer;
1939:299	1939-06-22	sfs-1939-299	Lag (1939:299) om förbud i vissa fall mot överlåtelse eller upplåtelse av fartyg m.m.
1939:350	1939-06-22	sfs-1939-350	Valutalag (1939:350)
1939:6	1939-01-04	sfs-1939-6	Lag (1939:6) om frihet från kvarstad för vissa luftfartyg
1939:608	1939-09-03	sfs-1939-608	Lag (1939:608) om enskilda vägar
1939:609	1939-09-03	sfs-1939-609	Lag (1939:609) om förmånsrätt för vissa fordringar enligt lagen om enskilda vägar;
1939:707	1939-10-06	sfs-1939-707	Kungörelse (1939:707) angående skyldighet för förvaltare av fastighet att biträda vid utlämnande av inköpskort, m.m.
1939:727	1939-10-14	sfs-1939-727	Lag (1939:727) om förbud mot uppsägning eller avskedande av arbetstagare med anledning av värnpliktstjänstgöring m.m.
1939:741	1939-10-20	sfs-1939-741	Kungörelse (1939:741) angående ny svensk koralbok
1939:783	1939-11-03	sfs-1939-783	Kungörelse (1939:783) angående anordnande och begagnande samt tillsyn av vissa hissar
1940:123	1940-03-08	sfs-1940-123	/r1/ Kungl. Maj:ts Cirkulär (1940:123) till statsmyndigheterna angående insändande till kungl. biblioteket av offentliga publikationer;
1940:143	1940-03-15	sfs-1940-143	Lag (1940:143) angående preskription av vissa riksbankssedlar av äldre typ
1940:176	1940-03-21	sfs-1940-176	Lag (1940:176) med vissa bestämmelser om fraktfart med svenska fartyg
1940:218	1940-04-13	sfs-1940-218	Förordning (1940:218) med vissa bestämmelser om legosängsavgifter under utrymning
1940:300	1940-05-03	sfs-1940-300	Lag (1940:300) angående förordnande om anstånd med betalning av gäld m.m. (moratorielag)
1940:358	1940-05-17	sfs-1940-358	Lag (1940:358) med vissa bestämmelser till skydd för försvaret m.m.
1940:383	1940-05-24	sfs-1940-383	Kungörelse (1940:383) angående tillämpning av lagen den 17 maj 1940 (nr 358) med vissabestämmelser till skydd för försvaret m.m. (bevakningskungörelse)
1940:440	1940-05-31	sfs-1940-440	Kungörelse (1940:440) om hänförande av vissa automobiler till fordonstypen motorredskap
1940:545	1940-06-21	sfs-1940-545	Kungl. Maj:ts förordning (1940:545) om höjning av utskiftningsskatten;
1940:553	1940-06-14	sfs-1940-553	Brev (1940:553) till chefen för försvarsstaben angående utlåning och försäljning av skjutvapen m.m. från kronans förråd;
1940:677	1940-06-21	sfs-1940-677	Cirkulär (1940:677) angående bemyndigande för Kungl. Maj:t att biträda ackord och eljest eftergiva statens rätt med avseende å lån från statens utlåningsfonder m.m.
1940:72	1940-02-16	sfs-1940-72	Kungörelse (1940:72) med vissa föreskrifter i fråga om redovisning av förrättningsakt m.m. rörande förrättning enligt lagen den 3 september 1939 (nr 608) om enskilda vägar
1940:79	1940-02-16	sfs-1940-79	Lag (1940:79) om utsträckning av tiden för upptagande av växelprotest m.m. vid krig eller krigsfara
1940:860	1940-10-04	sfs-1940-860	Kungl. Maj:ts förordning (1940:860) om rätt att använda försvarsobligation såsom betalningsmedel vid erläggande av arvsskatt, m.m.;
1940:961	1940-11-22	sfs-1940-961	Kungörelse (1940:961) om examina som avläggas under inseende av Musikaliska akademiens styrelse;
1941:1000	1941-12-30	sfs-1941-1000	Kungl. Maj:ts kungörelse (1941:1000) angående handräckning på begäran av myndighet i Amerikas Förenta Stater i vissa beskattningsärenden
1941:164	1941-03-28	sfs-1941-164	Kungl. Maj:ts förordning (1941:164) om rätt att använda obligationer med 4 procent ränta tillhörande svenska statens andra försvarslån såsom betalningsmedel vid erläggande av arvsskatt;
1941:206	1941-04-09	sfs-1941-206	/r1/ Kungl. Maj:ts Kungörelse (1941:206) med vissa bestämmelser angående marknader;
1941:251	1941-05-25	sfs-1941-251	Lag (1941:251) om särskild varuskatt
1941:416	1941-06-06	sfs-1941-416	Lag (1941:416) om arvsskatt och gåvoskatt
1941:417	1941-06-06	sfs-1941-417	Förordning (1941:417) angående införande av förordningen om arvsskatt och gåvoskatt
1941:720	1941-08-30	sfs-1941-720	Kungörelse (1941:720) om beredskapsregister m.m.
1941:756	1941-09-19	sfs-1941-756	Kungl. Maj:ts Brev (1941:756) till medicinalstyrelsen angående rätt för legitimerade läkare och medicine kandidater att vid befordran på läkarbanan åtnjuta tjänstårsberäkning för viss tjänstgöring vid armén, marinen eller flygvapnet.
1941:846	1941-10-17	sfs-1941-846	Kungörelse (1941:846) om förbud mot förorening av vattensystemen inom vissa nationalparker
1941:881	1941-11-21	sfs-1941-881	Lag (1941:881) med vissa bestämmelser om dödande av handlingar som förstörts under krig m.m.
1941:895	1941-11-28	sfs-1941-895	Kungörelse (1941:895) angående plats för hållande av tingspredikan
1941:939	1941-12-19	sfs-1941-939	Brev (1941:939) till direktionen för Abraham Rydbergs Stiftelse till danande av skickliga sjömän angående fastställelse av nytt reglemente för stiftelsen
1941:967	1941-12-30	sfs-1941-967	Värnpliktslag (1941:967)
1941:999	1941-12-30	sfs-1941-999	Kungl. Maj:ts kungörelse (1941:999) angående särskilt förfarande för erhållande av handräckning i Amerikas Förenta Stater i vissa beskattningsärenden
1942:117	1942-03-13	sfs-1942-117	Lag (1942:117) med vissa bestämmelser om kungörande i kyrka m.m.
1942:118	1942-03-20	sfs-1942-118	Lag (1942:118) om anordnande av högmässogudstjänst såsom barngudstjänst
1942:155	1942-04-02	sfs-1942-155	Kungörelse (1942:155) angående förbud mot försäljning av vissa kemikalier
1942:158	1942-04-01	sfs-1942-158	Kungl. Maj:ts Kungörelse (1942:158) angående ändring i rikets indelning i stift
1942:237	1942-05-15	sfs-1942-237	Kungl. Maj:ts Kungörelse (1942:237) med vissa bestämmelser i anledning av inrättandet av Stockholms stift
1942:263	1942-05-29	sfs-1942-263	Lag (1942:263) om preskription av rätt till medel som innestå hos offentlig myndighet
1942:335	1942-06-12	sfs-1942-335	Lag (1942:335) om särskilda skyddsåtgärder för vissa kraftanläggningar m.m.
1942:350	1942-06-12	sfs-1942-350	Lag (1942:350) om fornminnen
1942:371	1942-06-12	sfs-1942-371	Förordning (1942:371) om rätt att vid taxering till kommunal inkomstskatt samt statlig inkomst- och förmögenhetsskatt åtnjuta avdrag för avsättning till investeringsfond
